student_id,module_id,module_title,status,module_weight,updated_at
S110,M01,Module 1: Topic Project,completed,1,2025-11-12
S110,M02,Module 2: Topic Quiz,in_progress,1,2026-01-11
S110,M03,Module 3: Topic Advanced,completed,1,2025-10-16
S110,M04,Module 4: Topic Quiz,completed,1,2025-12-01
S110,M05,Module 5: Topic Quiz,completed,2,2025-12-11
S110,M06,Module 6: Topic Intermediate,completed,2,2025-11-01
S110,M07,Module 7: Topic Advanced,in_progress,3,2025-12-24
S110,M08,Module 8: Topic Advanced,completed,3,2025-12-31
S110,M09,Module 9: Topic Advanced,completed,3,2025-10-11
S110,M10,Module 10: Topic Quiz,completed,1,2025-11-27
S110,M11,Module 11: Topic Project,completed,2,2025-12-30
S110,M12,Module 12: Topic Advanced,in_progress,2,2026-01-21
S110,M13,Module 13: Topic Quiz,completed,1,2025-10-28
S110,M14,Module 14: Topic Intermediate,completed,1,2025-10-19
S110,M15,Module 15: Topic Project,in_progress,2,2025-12-20
S110,M16,Module 16: Topic Intermediate,completed,1,2025-10-21
S110,M17,Module 17: Topic Project,completed,2,2025-10-26
S110,M18,Module 18: Topic Quiz,completed,1,2025-10-24
S110,M19,Module 19: Topic Basics,completed,1,2025-11-22
S110,M20,Module 20: Topic Project,in_progress,2,2026-01-05
S110,M21,Module 21: Topic Intermediate,in_progress,1,2026-01-03
S110,M22,Module 22: Topic Quiz,completed,2,2025-10-17
S110,M23,Module 23: Topic Project,completed,3,2025-11-15
S110,M24,Module 24: Topic Basics,completed,1,2025-12-04
S111,M01,Module 1: Topic Basics,completed,1,2025-12-30
S111,M02,Module 2: Topic Basics,completed,1,2025-12-02
S111,M03,Module 3: Topic Basics,completed,3,2025-12-16
S111,M04,Module 4: Topic Project,completed,2,2025-12-09
S111,M05,Module 5: Topic Advanced,completed,1,2026-01-01
S111,M06,Module 6: Topic Advanced,completed,2,2025-12-13
S111,M07,Module 7: Topic Basics,completed,3,2025-11-04
S111,M08,Module 8: Topic Advanced,completed,1,2025-11-16
S111,M09,Module 9: Topic Advanced,in_progress,1,2026-01-07
S111,M10,Module 10: Topic Basics,in_progress,1,2026-01-01
S111,M11,Module 11: Topic Advanced,completed,1,2025-11-09
S111,M12,Module 12: Topic Quiz,completed,2,2025-12-03
S111,M13,Module 13: Topic Intermediate,completed,3,2025-11-30
S111,M14,Module 14: Topic Intermediate,completed,1,2025-11-13
S111,M15,Module 15: Topic Basics,in_progress,1,2026-01-23
S111,M16,Module 16: Topic Project,completed,2,2025-12-17
S111,M17,Module 17: Topic Basics,in_progress,1,2026-01-01
S111,M18,Module 18: Topic Project,completed,3,2025-12-01
